date,change_id,change_description,capital_inicial,capital_final,net_pnl_usd,net_pnl_pct,trades,win_rate,profit_factor,A_trades,A_wr,A_pnl,B_trades,B_wr,B_pnl,C_trades,C_wr,C_pnl,TENDENCIA_trades,TENDENCIA_wr,TENDENCIA_pnl,BAJA_VOLATILIDAD_trades,BAJA_VOLATILIDAD_wr,BAJA_VOLATILIDAD_pnl,RANGO_trades,RANGO_wr,RANGO_pnl,TENDENCIA_EMERGENTE_trades,TENDENCIA_EMERGENTE_wr,TENDENCIA_EMERGENTE_pnl
2026-06-09,breakeven_+1R,"Puerta A: breakeven arm at +1R, TP=3R (3000-candle backtest)",4965.20,3505.08,-1460.12,-29.41,309,34.95,0.798,126,13.5,-1186.09,159,54.1,-57.6,24,20.8,-216.43,148,20.3,-1556.63,62,54.8,85.3,74,45.9,-111.91,25,40.0,123.12
2026-06-09,breakeven_+2R,"Puerta A: breakeven arm raised to +2R, TP=3R unchanged",4965.20,3521.42,-1443.78,-29.08,271,35.06,0.808,123,15.4,-1482.94,131,55.0,158.59,17,23.5,-119.42,134,22.4,-1496.95,48,60.4,313.73,61,39.3,-481.01,28,42.9,220.45
2026-06-09,tp2r_be1r,"Puerta A TP 3R->2R, breakeven reverted to +1R (activates RUNNER mechanism for first time)",4965.2,3312.67,-1652.53,-33.28,332,37.35,0.776,135,20.7,-1089.85,174,52.3,-373.52,23,21.7,-189.16,157,24.2,-1586.31,65,50.8,-183.59,83,48.2,-24.29,27,48.1,141.66
