combo,entrada,salida,interval,pnl_pct,pf,max_dd_pct,sharpe_ann,sharpe_per,skew,kurt,n_ret,trades,wr
macd_stack|exhaustion,macd_stack,exhaustion,1h,-2.87,0.926,8.0,-0.228,-0.011935139963269684,3.924,50.99,1095,810,35.8
macd_stack|trailing,macd_stack,trailing,1h,-7.47,0.928,22.5,-0.234,-0.012263850793783494,2.388,23.958,1095,570,26.7
macd_stack|scaleout,macd_stack,scaleout,1h,12.52,1.154,15.7,0.374,0.019564829389474625,0.649,12.073,1095,457,26.3
macd_stack|climax,macd_stack,climax,1h,-15.01,0.829,24.5,-0.899,-0.047059662948140006,-0.216,9.262,1095,638,42.9
macd_stack|adx_decline,macd_stack,adx_decline,1h,19.86,1.209,17.6,0.458,0.02394715529839498,0.739,12.851,1095,457,22.1
macd_stack|rsi_div,macd_stack,rsi_div,1h,19.86,1.209,17.6,0.458,0.02394715529839498,0.739,12.851,1095,457,22.1
continua|escalera,continua,escalera,1h,-84.61,0.687,85.4,-3.821,-0.19998660338543736,0.489,5.456,1095,5829,60.4
continua|flip,continua,flip,1h,162.97,1.486,26.9,1.297,0.06788144581417498,0.597,8.981,1095,822,27.0
continua|trailing,continua,trailing,1h,17.52,1.041,24.5,0.359,0.018777218341070094,0.906,6.227,1095,1692,30.9
continua|scaleout,continua,scaleout,1h,122.91,1.481,22.4,1.309,0.06851521220418814,0.552,9.47,1095,822,32.2
continua|exhaustion,continua,exhaustion,1h,39.41,1.107,19.9,0.691,0.0361460705013128,1.679,9.589,1095,3649,31.4
continua|climax,continua,climax,1h,11.46,1.019,24.6,0.28,0.01464796587442205,0.683,5.245,1095,3300,52.1
continua|adx_decline,continua,adx_decline,1h,162.97,1.486,26.9,1.297,0.06788144581417498,0.597,8.981,1095,822,27.0
continua|rsi_div,continua,rsi_div,1h,162.97,1.486,26.9,1.297,0.06788144581417498,0.597,8.981,1095,822,27.0
