combo,entrada,salida,interval,pnl_pct,pf,max_dd_pct,sharpe_ann,sharpe_per,skew,kurt,n_ret,trades,wr
macd_stack|climax,macd_stack,climax,1d,-5.43,0.657,13.6,-0.164,-0.008589738668543942,-1.511,44.744,3652,54,11.1
macd_stack|adx_decline,macd_stack,adx_decline,1d,17.77,2.129,27.2,0.192,0.010059687889136745,-3.457,113.881,3652,52,11.5
macd_stack|rsi_div,macd_stack,rsi_div,1d,17.77,2.129,27.2,0.192,0.010059687889136745,-3.457,113.881,3652,52,11.5
continua|escalera,continua,escalera,1d,-54.37,0.673,55.0,-1.617,-0.08464858143102359,-0.171,8.529,3652,1325,38.2
continua|flip,continua,flip,1d,-0.83,0.99,43.2,0.105,0.005480429712856569,-2.293,56.388,3652,286,8.0
continua|trailing,continua,trailing,1d,34.86,1.142,20.0,0.397,0.020799104770599357,9.632,294.773,3652,831,29.6
continua|scaleout,continua,scaleout,1d,-1.71,0.975,38.5,0.08,0.004172177733305847,-2.786,69.119,3652,286,9.4
continua|exhaustion,continua,exhaustion,1d,2.66,1.019,24.8,0.083,0.004337738696465587,0.179,108.076,3652,541,20.1
continua|climax,continua,climax,1d,-0.52,0.996,32.4,0.066,0.003438310629599471,-0.46,15.63,3652,425,13.4
continua|adx_decline,continua,adx_decline,1d,-0.83,0.99,43.2,0.105,0.005480429712856569,-2.293,56.388,3652,286,8.0
continua|rsi_div,continua,rsi_div,1d,-0.83,0.99,43.2,0.105,0.005480429712856569,-2.293,56.388,3652,286,8.0
